OBJECTID,Station_Number,Station_Name,Province,Water_Flow,Sampling_Freq,Drainage_Area_sq_km,Station_Water_Quantity,Symbol,Year,Latitude,Longitude,Historical_Water_Quantity_Data,Realtime_Water_Quantity_Data,Drainage_Region_ID,Drainage_Region_Water_Quantity,Data_Access_Page,geometry.x,geometry.y
215,02OA054,Chateauguay (Riviere) à 2 km en amont du Pont-Route 132,Quebec,Regulated,Yearly,2490,Normal,9,2013,45.33194,-73.76194,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OA054,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OA054,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=215,-8211141.6007,5673930.901799999
216,02OA057,"Anglais (Riviere des) à 1,1 km en aval du Pont-Route à Tres-Saint-Sacrement",Quebec,Natural,Yearly,643,Normal,3,2013,45.175,-73.845,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OA057,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OA057,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=216,-8220387.797599999,5649113.857000001
217,02OB008,L'Assomption (Riviere) au Pont-Route 158 à Joliette,Quebec,Regulated,Yearly,1340,Normal,9,2013,46.01028,-73.4275,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OB008,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OB008,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=217,-8173911.9102,5781996.750500001
218,02OB017,Ouareau (Riviere) aux Chutes Dorwin,Quebec,Regulated,Yearly,1270,Normal,9,2013,46.03,-73.70528,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OB017,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OB017,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=218,-8204834.238399999,5785158.045299999
219,02OB037,Achigan (Riviere de l') à l'Epiphanie,Quebec,Natural,Yearly,647,Normal,3,2013,45.84639,-73.49306,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OB037,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OB037,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=219,-8181210.016000001,5755767.187899999
220,02OC002,Maskinonge (Riviere) au Pont du C.N. pres de Sainte-Ursule,Quebec,Regulated,Yearly,1030,Normal,9,2013,46.30111,-73.09667,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OC002,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OC002,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=220,-8137084.0831,5828734.309500001
221,02OC004,"Loup (Riviere du) à 0,3 km en aval du Ruisseau Carufel",Quebec,Regulated,Yearly,774,Normal,9,2013,46.60056,-73.18639,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OC004,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OC004,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=221,-8147071.6678,5877117.2817
222,02OD001,Nicolet Sud-Ouest (Riviere) pres d'Asbestos,Quebec,Regulated,Yearly,549,Normal,9,2013,45.79167,-71.96917,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OD001,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OD001,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=222,-8011571.3572,5747026.812399998
223,02OD010,Bulstrode (Riviere) à Saint-Valere-1,Quebec,Regulated,Yearly,342,Normal,9,2013,46.07,-71.97889,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OD010,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OD010,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=223,-8012653.3827,5791573.873999998
224,02OE001,"Saint-Francois (Riviere) à 0,6 km en aval du Barrage Jules-Allard",Quebec,Regulated,Yearly,1230,Normal,9,2013,45.94083,-71.28111,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OE001,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OE001,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=224,-7934976.8684,5770872.251000002
225,02OE019,"Massawappi (Riviere) à 1,6 km en aval du Lac Massawippi",Quebec,Regulated,Yearly,610,High,11,2013,45.28417,-71.9625,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OE019,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OE019,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=225,-8010828.8562,5666369.729999997
226,02OE022,"Coaticook (Riviere) à 1,3 km en aval du Pont-Route 143 à Waterville",Quebec,Regulated,Yearly,521,Normal,9,2013,45.285,-71.89944,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OE022,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OE022,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=226,-8003809.0491,5666501.050399996
227,02OE027,Eaton (Riviere) pres de la Riviere Saint-Francois-3,Quebec,Natural,Yearly,642,Normal,3,2013,45.46722,-71.65528,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OE027,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OE027,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=227,-7976629.282199999,5695378.076899998
228,02OE032,"Saumon (Riviere Au) à 1,9 km en amont de la Moffat",Quebec,Natural,Yearly,738,Normal,3,2013,45.58056,-71.38667,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OE032,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OE032,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=228,-7946727.753799999,5713386.562100001
229,02OE062,"Saint-Francois (Riviere) à 0,5 km en aval de la Centrale Weedon",Quebec,Regulated,Yearly,2930,Normal,9,2013,45.65861,-71.46861,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OE062,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OE062,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=229,-7955849.2729,5725808.997599997
230,02OG002,Yamaska (Riviere) à Farnham,Quebec,Regulated,Yearly,1230,Normal,9,2013,45.2825,-72.96583,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OG002,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OG002,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=230,-8122519.040899999,5666105.512900002
231,02OG007,Yamaska Nord (Riviere) à Val-Shefford,Quebec,Natural,Yearly,139,Normal,3,2013,45.41583,-72.62222,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OG007,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OG007,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=231,-8084268.5507,5687224.700400002
232,02OG019,"Noire (Riviere) à 7,6 km de la Yamaska",Quebec,Regulated,Yearly,1490,Normal,9,2013,45.49972,-72.90639,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OG019,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OG019,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=232,-8115902.2104,5700538.262500003
233,02OG026,David (Riviere) au Pont-Route à Saint-David,Quebec,Natural,Yearly,316,Normal,3,2013,45.95361,-72.85944,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OG026,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OG026,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=233,-8110675.760299999,5772918.304099999
234,02OJ007,Richelieu (Riviere) aux Rapides Fryers,Quebec,Natural,Yearly,22000,Normal,3,2013,45.39847,-73.25844,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OJ007,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OJ007,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=234,-8155092.2371,5684472.093999997
235,02OJ024,Hurons (Riviere des) en aval du Ruisseau Saint-Louis-2,Quebec,Natural,Yearly,309,Normal,3,2013,45.49028,-73.18694,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OJ024,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OJ024,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=235,-8147132.8935,5699039.120200001
236,02OJ026,L'Acadie (Riviere) pres de l'Autoroute No. 10,Quebec,Natural,Yearly,345,Normal,3,2013,45.38972,-73.37083,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02OJ026,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02OJ026,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=236,-8167603.434699999,5683085.012100004
237,02PA007,"Batiscan (Riviere) à 3,4 km en aval de la Riviere des Envies",Quebec,Natural,Yearly,4480,Normal,3,2013,46.58361,-72.40472,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02PA007,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02PA007,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=237,-8060056.5614,5874371.503700003
238,02PB006,Sainte-Anne (Riviere) (Bras du Nord de la) en Amont,Quebec,Natural,Yearly,642,Normal,3,2013,46.97167,-71.85444,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02PB006,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02PB006,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=238,-7998799.672,5937451.120700002
239,02PB019,"Sainte-Anne (Riviere) à 1,3 km en aval du Barrage à Chute-Panet",Quebec,Regulated,Yearly,1550,Normal,9,2013,46.85278,-71.8775,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02PB019,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02PB019,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=239,-8001366.6995,5918077.040799998
240,02PC002,Jacques-Cartier (Riviere) en aval du Pont du Chemin Gosford,Quebec,Regulated,Yearly,2010,Normal,9,2013,46.88972,-71.52722,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02PC002,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02PC002,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=240,-7962373.7083,5924092.1098000035
241,02PC010,"Ontaritzi (Riviere) à 0,2 km en aval du Barrage du Lac Saint-Joseph",Quebec,Regulated,Yearly,213,Normal,9,2013,46.8675,-71.63944,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02PC010,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02PC010,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=241,-7974865.9815,5920473.453599997
242,02PD002,"Montmorency (Riviere) à 0,6 km en aval du Barrage des Marches Naturelles",Quebec,Natural,Yearly,1100,Normal,3,2013,46.89417,-71.15139,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02PD002,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02PD002,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=242,-7920536.504000001,5924816.998400003
243,02PD010,"Saint-Charles (Riviere) à 0,8 km  en amont de la Riviere Lorette",Quebec,Regulated,Yearly,357,Normal,9,2013,46.81417,-71.3175,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02PD010,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02PD010,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=243,-7939027.784600001,5911794.4602999985
244,02PD013,Eaux Volees (Ruisseau des) pres de la Riviere Montmorency,Quebec,Natural,Yearly,9.17,Normal,3,2013,47.27083,-71.13778,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02PD013,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02PD013,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=244,-7919021.445800001,5986393.007399999
245,02PE014,Dauphine (Riviere) à l' Ile d'Orleans,Quebec,Natural,Yearly,24.9,Normal,3,2013,46.96667,-70.85639,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02PE014,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02PE014,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=245,-7887697.2542,5936635.464000002
246,02PF001,Malbaie (Riviere) à Clermont,Quebec,Regulated,Yearly,1700,Normal,9,2013,47.69417,-70.21694,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02PF001,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02PF001,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=246,-7816514.005899999,6056125.596900001
247,02PG003,"Fourchue (Riviere) à 0,2 km en aval du Barrage Morin",Quebec,Regulated,Yearly,261,Normal,9,2013,47.65083,-69.51278,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02PG003,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02PG003,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=247,-7738127.2732,6048960.731399998
248,02PG006,Loup (Riviere du) à Saint-Joseph-de-Kamouraska,Quebec,Natural,Yearly,525,Normal,3,2013,47.6125,-69.64583,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02PG006,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02PG006,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=248,-7752938.331499999,6042629.060099997
249,02PG022,Ouelle (Riviere) pres de Saint-Gabriel-de-Kamouraska,Quebec,Natural,Yearly,795,Normal,3,2013,47.38111,-69.95806,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02PG022,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02PG022,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=249,-7787695.6161,6004504.308600001
250,02PH010,"Du Sud (Riviere) à 1,0 km en amont du Pont-Route à Arthurville",Quebec,Regulated,Yearly,821,Normal,9,2013,46.82056,-70.75694,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02PH010,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02PH010,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=250,-7876626.5309,5912833.923100002
251,02PH011,Etchemin (Riviere) au Pont-Route 173 à Saint-Henri-de-Levis,Quebec,Regulated,Yearly,1160,Normal,9,2013,46.69111,-71.06889,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02PH011,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02PH011,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=251,-7911352.646,5891800.303499997
252,02PJ030,Famine (Riviere) à Saint-Georges,Quebec,Natural,Yearly,691,Normal,3,2013,46.16417,-70.63972,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02PJ030,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02PJ030,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=252,-7863577.6602,5806696.721299998
253,02PL005,"Becancour (Riviere) à 2,1 km en amont de la Riviere Palmer",Quebec,Natural,Yearly,919,Normal,3,2013,46.30611,-71.45139,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02PL005,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02PL005,21,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=253,-7953932.351299999,5829539.995300002
254,02QA002,"Rimouski (Riviere) à 3,7 km en amont du Pont-Route 132",Quebec,Natural,Yearly,1610,Normal,3,2013,48.41333,-68.55611,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02QA002,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02QA002,22,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=254,-7631631.255999999,6175895.765500002
255,02QB001,"Matane (Riviere) à 8,5 km en amont du Pont-Route 132 à Matane",Quebec,Regulated,Yearly,1650,Normal,9,2013,48.77472,-67.54194,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02QB001,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02QB001,22,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=255,-7518734.368000001,6236722.182300001
256,02QC009,"Sainte-Anne (Riviere) à 9,7 km en amont du Pont-Route 132",Quebec,Natural,Yearly,774,Normal,3,2013,49.05889,-66.48667,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02QC009,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02QC009,22,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=256,-7401262.2489,6284859.708700001
257,02RC011,Peribonca (Petite Riviere),Quebec,Natural,Yearly,1090,Normal,3,2013,48.81417,-72.04778,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02RC011,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02RC011,22,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=257,-8020322.182399999,6243388.552699998
258,02RD003,Mistassini (Riviere) en amont de la Riviere Mistassibi,Quebec,Natural,Yearly,9870,Normal,3,2013,48.88778,-72.26361,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02RD003,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02RD003,22,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=258,-8044348.268100001,6255841.414899997
259,02RF001,Chamouchouane (Riviere) à la tete de la Chute aux Saumons,Quebec,Natural,Yearly,15300,Normal,3,2013,48.68639,-72.48806,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02RF001,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02RF001,22,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=259,-8069333.9278,6221814.9048999995
260,02RF009,Saumons (Riviere Aux) pres de l'Embouchure,Quebec,Natural,Yearly,585,High,5,2013,48.68361,-72.51389,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02RF009,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02RF009,22,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=260,-8072209.3102,6221346.154600002
261,02RG005,Metabetchouane (Riviere) en amont de la Centrale S.R.P.C.,Quebec,Natural,Yearly,2280,Normal,3,2013,48.375,-71.99361,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02RG005,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02RG005,22,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=261,-8014292.0056,6169469.7698
262,02RG008,Ouiatchouane (Riviere) en aval du Barrage de Lac des Commissaires,Quebec,Regulated,Yearly,562,Normal,9,2013,48.20611,-72.23889,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02RG008,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02RG008,22,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=262,-8041596.450300001,6141212.948700003
263,02RH015,Chicoutimi (Riviere) en aval du Barrage Portage des Roches,Quebec,Regulated,Yearly,3390,Low,7,2013,48.30417,-71.19444,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02RH015,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02RH015,22,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=263,-7925328.8081,6157607.890699998
264,02RH027,Pikauba (Riviere) en amont de la Riviere Apica,Quebec,Natural,Yearly,495,Normal,3,2013,47.94111,-71.38194,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02RH027,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02RH027,22,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=264,-7946201.2126,6097063.223099999
265,02RH035,Ecorces (Riviere Aux) en amont du Pont-Route 169,Quebec,Natural,Yearly,1110,Normal,3,2013,48.18222,-71.64528,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02RH035,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02RH035,22,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=265,-7975516.087300001,6137223.465899996
266,02RH045,"Valin (Riviere) à 3,5 km de l'Embouchure",Quebec,Natural,Yearly,746,High,5,2013,48.48889,-70.97417,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02RH045,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02RH045,22,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=266,-7900808.4639,6188577.545000002
267,02UA003,"Godbout (Riviere) à 1,6 km en amont du Pont-Route 138",Quebec,Natural,Yearly,1570,Low,1,2013,49.33056,-67.65583,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02UA003,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02UA003,22,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=267,-7531412.5448,6331137.7798999995
268,02UC002,"Moisie (Riviere) à 5,1 km en amont du Pont du Q.N.S.L.R.",Quebec,Natural,Yearly,19000,High,5,2013,50.35028,-66.19028,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02UC002,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02UC002,22,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=268,-7368268.2651,6507160.615000002
269,02WB003,"Natashquan (Riviere) à 0,6 km en aval de la Decharge du Lac Alieste",Quebec,Natural,Yearly,15600,Normal,3,2013,50.42722,-61.71361,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02WB003,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02WB003,22,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=269,-6869927.6402,6520594.204000004
270,02XA003,Little Mecatina River above Lac Fourmont,Newfoundland and Labrador,Natural,Yearly,4540,High,5,2013,52.22981,-61.31694,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02XA003,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02XA003,22,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=270,-6825770.537799999,6841785.189099997
271,02YA002,Bartletts River near St. Anthony,Newfoundland and Labrador,Natural,Yearly,33.6,Normal,3,2013,51.44922,-55.64125,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02YA002,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02YA002,25,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=271,-6193955.6171,6701143.5414
272,02YC001,Torrent River at Bristol's Pool,Newfoundland and Labrador,Natural,Yearly,624,High,5,2013,50.60747,-57.15161,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02YC001,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02YC001,25,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=272,-6362088.123199999,6552151.240000002
273,02YD002,Northeast Brook near Roddickton,Newfoundland and Labrador,Natural,Yearly,200,Normal,3,2013,50.92442,-56.11169,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02YD002,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02YD002,25,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=273,-6246324.758400001,6607935.369199999
